# s  W0^2        W2^2        W4^2        W6^2        W8^2
3.054455764922191285e+00 6.853577064318926437e-01 1.754435144264840721e-02 3.227318632244997876e-02 3.555344885615562001e-03 3.091227449443887873e-02
3.056654437460048612e+00 6.853341179819515405e-01 1.752720429218711934e-02 3.226811999536710607e-02 3.568964833182176454e-03 3.085752064863876362e-02
3.058854692656586050e+00 6.853105358263433811e-01 1.751009422628274637e-02 3.226302665344574216e-02 3.582554881241008498e-03 3.080287385867961844e-02
3.061056531651039414e+00 6.852869599543769397e-01 1.749302121961245071e-02 3.225790633025598514e-02 3.596115054531754968e-03 3.074833402778404459e-02
3.063259955583466532e+00 6.852633903553618788e-01 1.747598524685340174e-02 3.225275905936796778e-02 3.609645377794120941e-03 3.069390105917462613e-02
3.065464965594745017e+00 6.852398270186065288e-01 1.745898628268275146e-02 3.224758487435178123e-02 3.623145875767813662e-03 3.063957485607392631e-02
3.067671562826572274e+00 6.852162699334205520e-01 1.744202430177769006e-02 3.224238380877757215e-02 3.636616573192525629e-03 3.058535532170456733e-02
3.069879748421469934e+00 6.851927190891121677e-01 1.742509927881535220e-02 3.223715589621543171e-02 3.650057494807964955e-03 3.053124235928911592e-02
3.072089523522779864e+00 6.851691744749911495e-01 1.740821118847293847e-02 3.223190117023549961e-02 3.663468665353826741e-03 3.047723587205019083e-02
3.074300889274668602e+00 6.851456360803662715e-01 1.739136000542759394e-02 3.222661966440788783e-02 3.676850109569816932e-03 3.042333576321036570e-02
3.076513846822126030e+00 6.851221038945461972e-01 1.737454570435648799e-02 3.222131141230268059e-02 3.690201852195639301e-03 3.036954193599220378e-02
3.078728397310964926e+00 6.850985779068403669e-01 1.735776825993679343e-02 3.221597644749003148e-02 3.703523917970992421e-03 3.031585429361832729e-02
3.080944541887824517e+00 6.850750581065574440e-01 1.734102764684567269e-02 3.221061480354004553e-02 3.716816331635573126e-03 3.026227273931133763e-02
3.083162281700168261e+00 6.850515444830067580e-01 1.732432383976029167e-02 3.220522651402284164e-02 3.730079117929091265e-03 3.020879717629379110e-02
3.085381617896285622e+00 6.850280370254971940e-01 1.730765681335781972e-02 3.219981161250852486e-02 3.743312301591240204e-03 3.015542750778830300e-02
3.087602551625293401e+00 6.850045357233374155e-01 1.729102654231541233e-02 3.219437013256722796e-02 3.756515907361728489e-03 3.010216363701743655e-02
3.089825084037135294e+00 6.849810405658373069e-01 1.727443300131025275e-02 3.218890210776906985e-02 3.769689959980252088e-03 3.004900546720382440e-02
3.092049216282582336e+00 6.849575515423048655e-01 1.725787616501949298e-02 3.218340757168412086e-02 3.782834484186516511e-03 2.999595290156999508e-02
3.094274949513234230e+00 6.849340686420498647e-01 1.724135600812031280e-02 3.217788655788256236e-02 3.795949504720219896e-03 2.994300584333860898e-02
