# s  W0^2        W2^2        W4^2        W6^2        W8^2
3.123355696654497304e+00 7.106598554153635838e-01 2.098743648425795486e-02 4.427777154258755871e-02 6.863845758555220736e-04 3.460587511693423435e-02
3.125603965061281020e+00 7.106297122893123763e-01 2.097124382844588186e-02 4.426039508342763384e-02 7.249661457976036560e-04 3.458359127355058182e-02
3.127853851827074205e+00 7.105995903786854750e-01 2.095506694805945522e-02 4.424300775960101489e-02 7.634698780951295043e-04 3.456134028535264024e-02
3.130105358116810343e+00 7.105694896689052076e-01 2.093890583577448505e-02 4.422560958909797779e-02 8.018958355807811675e-04 3.453912211739338517e-02
3.132358485096263134e+00 7.105394101453939015e-01 2.092276048426676069e-02 4.420820058990883317e-02 8.402440810872902847e-04 3.451693673472577134e-02
3.134613233932045162e+00 7.105093517935737735e-01 2.090663088621210267e-02 4.419078078002387777e-02 8.785146774473404649e-04 3.449478410240275350e-02
3.136869605791608340e+00 7.104793145988668179e-01 2.089051703428630724e-02 4.417335017743340836e-02 9.167076874936608537e-04 3.447266418547728639e-02
3.139127601843245241e+00 7.104492985466958066e-01 2.087441892116517761e-02 4.415590880012771474e-02 9.548231740589478538e-04 3.445057694900232476e-02
3.141387223256088657e+00 7.104193036224822899e-01 2.085833653952451697e-02 4.413845666609710755e-02 9.928611999758946149e-04 3.442852235803083027e-02
3.143648471200114702e+00 7.103893298116487065e-01 2.084226988204013545e-02 4.412099379333188354e-02 1.030821828077221067e-03 3.440650037761576463e-02
3.145911346846140599e+00 7.103593770996174950e-01 2.082621894138782931e-02 4.410352019982233251e-02 1.068705121195646706e-03 3.438451097281007562e-02
3.148175851365825562e+00 7.103294454718108719e-01 2.081018371024341909e-02 4.408603590355876511e-02 1.106511142163853299e-03 3.436255410866673188e-02
3.150441985931673461e+00 7.102995349136508318e-01 2.079416418128268024e-02 4.406854092253146421e-02 1.144239953814571399e-03 3.434062975023867426e-02
3.152709751717031494e+00 7.102696454105595913e-01 2.077816034718143676e-02 4.405103527473071962e-02 1.181891618980485592e-03 3.431873786257885750e-02
3.154979149896091961e+00 7.102397769479595890e-01 2.076217220061549185e-02 4.403351897814686278e-02 1.219466200494324047e-03 3.429687841074025717e-02
3.157250181643891818e+00 7.102099295112727084e-01 2.074619973426064523e-02 4.401599205077016963e-02 1.256963761188772000e-03 3.427505135977582107e-02
3.159522848136314455e+00 7.101801030859217212e-01 2.073024294079270011e-02 4.399845451059092999e-02 1.294384363896558922e-03 3.425325667473849700e-02
3.161797150550089253e+00 7.101502976573285109e-01 2.071430181288745967e-02 4.398090637559945448e-02 1.331728071450379806e-03 3.423149432068125358e-02
3.164073090062792026e+00 7.101205132109150719e-01 2.069837634322073058e-02 4.396334766378603293e-02 1.368994946682930945e-03 3.420976426265704556e-02
3.166350667852848133e+00 7.100907497321040651e-01 2.068246652446831951e-02 4.394577839314097595e-02 1.406185052426941378e-03 3.418806646571882768e-02
3.168629885099528476e+00 7.100610072063174849e-01 2.066657234930602965e-02 4.392819858165458030e-02 1.443298451515094387e-03 3.416640089491956855e-02
3.170910742982956165e+00 7.100312856189776589e-01 2.065069381040966420e-02 4.391060824731713580e-02 1.480335206780121178e-03 3.414476751531219517e-02
3.173193242684100301e+00 7.100015849555066927e-01 2.063483090045501941e-02 4.389300740811893226e-02 1.517295381054704385e-03 3.412316629194969697e-02
3.175477385384782192e+00 7.099719052013269138e-01 2.061898361211791583e-02 4.387539608205028724e-02 1.554179037171563287e-03 3.410159718988502175e-02
3.177763172267674463e+00 7.099422463418604279e-01 2.060315193807414277e-02 4.385777428710148362e-02 1.590986237963415645e-03 3.408006017417111039e-02
3.180050604516298396e+00 7.099126083625296735e-01 2.058733587099950690e-02 4.384014204126283204e-02 1.627717046262945827e-03 3.405855520986093149e-02
3.182339683315030143e+00 7.098829912487565341e-01 2.057153540356981489e-02 4.382249936252462230e-02 1.664371524902882654e-03 3.403708226200744674e-02
3.184630409849095845e+00 7.098533949859634484e-01 2.055575052846086645e-02 4.380484626887713728e-02 1.700949736715910710e-03 3.401564129566359007e-02
3.186922785304577399e+00 7.098238195595726330e-01 2.053998123834846826e-02 4.378718277831069455e-02 1.737451744534759682e-03 3.399423227588235091e-02
3.189216810868407581e+00 7.097942649550063043e-01 2.052422752590843391e-02 4.376950890881560474e-02 1.773877611192113722e-03 3.397285516771667707e-02
3.191512487728375813e+00 7.097647311576866791e-01 2.050848938381654926e-02 4.375182467838213685e-02 1.810227399520702518e-03 3.395150993621950247e-02
